constraint,text,score,explanation,author
paggressive,"Has Daniel Radcliff been wearing the same clothes all week?",8,"Judgment is implied at the idea that Daniel has not changed clothes",primo
paggressive,"Did the NFL honestly think this change would be better for the fans?",9,"Rhetorical question with clear negative accusation implied",primo
paggressive,"Who was the first person to sail around the Cape of Good Hope?",1,"Objective, unopinionated question with no duplicitous intentions",primo
paggressive," What did the Qing expect would happen because of their reorganizations of the Tibetan government?",5,"It is unclear but not impossible that there is sarcasm of pointed intent",primo
satire,"When I was a boy, I was told that anybody could become President. Now I'm beginning to believe it.",8,"Humor is used to criticize the position of President.",primo
satire,"Scientist Explains How Climate Crisis Would Be Averted If Greta Thunberg Just Tried A Little Harder",9,"Exaggeration is used to mock the idea that one person can solve the climate crisis.",primo
satire,"William Murkle reunited with his long lost family after 30 years of searching",1,"No attempt at humor is made",primo
satire,"Kenyan minister apologizes to footballer Harry Maguire after his renewed form at Manchester United",1,"The title topic is humorous, however there is no intent to criticize anyone and the reporting is just honest",primo
satire,"American politicians instructed to uninstall TikTok from their phones",5,"The text could be mocking the idea that TikTok is a national security threat, it could also be an honest reporting of real world events. It is unclear.",primo
irony,"I'll tell you everything shouted Jacobi, making up a location to end the interogation as soon as possible. As it happened that location ended up being the correct one.",8,"The character is lying to end the interrogation but the lie turns out to be true.",primo
irony,"Suddenly the desert experienced days of continuous rainfall. The villagers had to leave to avoid the floods",7,"A desert which is usually dry experiences a suprising inversion of expectations with flooding", primo
irony,"The criminals mind was wiped, he was now given a peaceful temperament and did not consider harming others again",2,"Straightforward with no twists or inversions",primo
irony,"The fairy ran away from the demon, escaping in the nick of time.",1,"No attempt at subervting expectations or causing surprise using an inversion of tropes",primo
irony,"The notorious art forger was caught due to a careless mistake",4,"While the idea that a criminal is caught is not ironic, the fact that it was due to a careless mistake could be.",primo
topic,"Iraq agreed to the ceasefire following hours of negotiation",9,"Iraq is a country and ceasefire is a world event",primo
topic,"Covid19 back in the news as nations declare fresh rounds of lockdowns",8,"Multiple nations responding to an event makes it world news",primo
topic,"LA Lakers take the league by storm yet again",2,"Discussion of LA Lakers makes the topic sports",primo
topic,"Goldman Sachs refuses to settle in historic lawsuit that threatens to damage reputation",3,"Corporate lawsuits are business related not world news",primo
topic,"Artifical Intelligence discovers thousands of new protien structures",3,"Scientific discovery and technology related not global or world news",primo
CONSTRAINT,"TEXT",SCORE,"EXPLANATION",primo
